GEO_ID,zip_code,median_age,sex_ratio,age_dependency_ratio,undergraduate_students,employment_population_ratio,total_workers,workers_not_from_home,commute_vehicles,median_household_value
860Z200US91405,91405,34.3,96.2,47.8,4136,64.8,28062,25824,20300,581600
860Z200US91406,91406,35.5,100,50.5,2982,65.4,27665,24978,20715,608600
860Z200US91411,91411,36,109.1,46.5,1344,66.6,12278,10742,8450,759300
860Z200US91423,91423,39.3,91.3,44,1297,67.7,17903,13807,12405,1066600
860Z200US91436,91436,45,94,75,1059,56.9,7311,5802,5330,1545300
860Z200US91501,91501,41.5,99.1,55.2,1015,59.7,9689,8328,7470,827400
860Z200US91502,91502,34.7,83.2,44.5,724,60.5,6291,4809,4035,761400
860Z200US91504,91504,40.4,94.7,60.5,1686,61.2,13316,10656,9330,819100
860Z200US91505,91505,38.4,93.6,49,2111,64,17036,13465,11920,812500
860Z200US91506,91506,42,92.6,53.4,735,64.1,10267,8066,7425,850600
860Z200US91601,91601,34.5,96.1,31,2417,65.6,19585,15984,13300,744500
860Z200US91602,91602,39.5,95.6,33.5,832,69.9,12127,9752,8640,873700
860Z200US91604,91604,40.3,104.8,49.4,1025,67.6,17942,13734,11875,1263200
860Z200US91605,91605,35.9,95.1,46.6,3921,59.6,24645,22884,18645,605900
860Z200US91606,91606,37.6,101.6,47.1,2866,61.7,21641,19115,16130,648100
860Z200US91607,91607,37.6,89.4,44.6,1761,66.6,16714,14322,12555,864100
860Z200US91608,91608,-,100,-,0,100,16,16,null,-
860Z200US91701,91701,42.6,96.9,61.7,2768,61.4,19013,17389,15950,577200
860Z200US91702,91702,31.5,95.5,47.4,8882,61.2,29664,27964,22605,474100
860Z200US91706,91706,36,99,53.7,5728,59.2,34280,32965,27975,465900
860Z200US91708,91708,34.2,80.2,47.6,670,58.2,5830,4734,4330,488900
860Z200US91709,91709,39,99.4,53.6,6232,61.5,38069,33099,30240,676800
860Z200US91710,91710,38.2,121,52.2,5007,55.7,36258,33116,30035,512600
860Z200US91711,91711,41.6,90.9,60.1,5583,56.3,17058,13618,10750,714400
860Z200US91722,91722,37.2,103.2,52.5,2447,63.3,18027,16860,14740,513600
860Z200US91723,91723,37.1,87.7,49.6,1476,66.8,9705,9008,7850,579100
860Z200US91724,91724,39,97,53.2,1807,61.6,14202,12583,10955,613400
860Z200US91730,91730,34.3,89.1,54.4,5671,63.6,33747,31235,27990,452400
860Z200US91731,91731,35.5,110.3,65.4,1909,55.1,12001,11367,9465,497100
860Z200US91732,91732,36.8,98.2,55.4,3728,59.3,27309,26260,21610,517800
860Z200US91733,91733,35.7,103.5,57.9,2711,56.5,19286,18438,15720,486400
860Z200US91737,91737,41.5,101.2,60.9,1993,60,11155,10230,9390,659500
860Z200US91739,91739,35.1,112,52.3,3068,63.7,19870,17606,15940,648400
860Z200US91740,91740,37.5,89.2,62.3,1867,60.4,12790,11607,10345,590200
860Z200US91741,91741,42.7,95.6,64.1,1991,59,12450,10948,9395,757100
860Z200US91744,91744,35.5,107.2,54.6,5750,60.2,37806,36414,30830,463200
860Z200US91745,91745,43.5,97,62.2,3679,57.2,25465,23341,20635,647300
860Z200US91746,91746,39.2,99.3,52.4,2442,57.2,13464,12820,11310,488400
860Z200US91748,91748,42,97.9,63.3,2749,57.3,21003,19266,17360,663600
860Z200US91750,91750,45,94.4,69.5,2597,56.9,15199,12933,11510,630400
860Z200US91752,91752,34.5,95.1,56.2,1743,61.6,16371,14995,13685,521900
860Z200US91754,91754,42.8,91.8,67.1,2177,54,14939,13058,11210,687700
860Z200US91755,91755,44.9,92.3,60.7,1722,53,12176,11163,9810,639900
860Z200US91759,91759,52.5,88.2,101.6,3,57.9,176,153,130,380000
860Z200US91761,91761,33.8,95.9,54.4,4693,63.1,29420,27937,25075,452900
860Z200US91762,91762,32.7,97.9,56.8,3646,61.4,28184,26846,24400,437700
860Z200US91763,91763,32.4,89.7,57.7,3656,57.2,16363,15491,13365,423700
860Z200US91764,91764,31.3,100.9,52.2,4398,62.6,26271,24780,21870,415600
860Z200US91765,91765,44,95,63.1,3065,59,21991,19481,17595,709800
860Z200US91766,91766,33.5,99.9,58.9,5146,59.2,31985,30033,25870,452700
860Z200US91767,91767,35.2,93.4,58.2,3810,59.5,22788,21099,18185,449500
860Z200US91768,91768,29.7,94.2,48.1,6119,55.2,15916,14996,11970,427500
860Z200US98853,98853,44,31.8,33.3,0,75,87,87,null,-
860Z200US91770,91770,42.1,100.1,60.2,3859,55.5,27029,25345,22360,601300
860Z200US91773,91773,42.7,88.4,65.3,2240,57.5,15867,13787,12315,625400
860Z200US91775,91775,43.2,98.3,65.3,1327,57.2,11019,9890,8695,861400
860Z200US91776,91776,42,101.4,52,2102,58.4,18084,16684,14440,698900
860Z200US91780,91780,42.9,93.7,62.5,2391,58.4,16544,14668,12760,766200
860Z200US91784,91784,47.2,91.6,62.8,1954,59.8,13113,11575,10350,666800
860Z200US91786,91786,34,93.3,54.4,3670,63.2,26846,24554,21250,483400
860Z200US91789,91789,45.2,92.2,66.9,2411,57.7,19387,16687,14940,790500
860Z200US91790,91790,37.9,97.8,56.9,3138,60.8,21591,19904,17835,594000
860Z200US91791,91791,42.1,94.2,63.7,2372,56.8,15618,14448,12635,647400
860Z200US91792,91792,39.9,88.6,52.8,2050,61.6,15737,14515,12920,557100
860Z200US91801,91801,40.9,90.8,54.3,2892,59.5,26786,24165,21005,662100
860Z200US91803,91803,42,97.6,59.4,1807,59,14122,12993,11215,643900
860Z200US91901,91901,41.8,100.2,64.2,1057,59,8491,7862,7420,644200
860Z200US91902,91902,45.8,93.5,67.6,1160,57.6,8488,7579,7090,732000
860Z200US91905,91905,54.3,84.9,69.7,16,16.1,212,184,160,280400
860Z200US91906,91906,33.8,151.6,91,214,46.2,1558,1391,1295,282800
860Z200US91910,91910,38.2,99.7,57.4,5148,57.9,35758,32629,28555,549100
