GEO_ID,zip_code,household_total,median_household_income,mean_household_income,total_families,median_family_income,mean_family_income,calculated_household_total,not_all_lengths_1
860Z200US24847,24847,51,-,49031,35,-,N,2500581,Yes
860Z200US24848,24848,47,26125,22677,31,-,N,1065819,Yes
860Z200US24849,24849,142,-,52213,142,-,52213,7414246,Yes
860Z200US50454,50454,40,61786,60725,26,-,N,2429000,Yes
860Z200US24945,24945,124,-,29304,77,41518,37691,3633696,Yes
860Z200US24985,24985,115,41589,56683,74,41691,66232,6518545,Yes
860Z200US51341,51341,17,-,78153,3,-,120500,1328601,Yes
860Z200US52334,52334,82,92917,78430,82,92917,78430,6431260,Yes
860Z200US25030,25030,96,63750,62293,96,63750,61761,5980128,Yes
860Z200US25054,25054,48,-,93738,48,-,93738,4499424,Yes
860Z200US25115,25115,57,36595,36816,46,36806,36974,2098512,Yes
860Z200US53962,53962,21,-,35286,3,-,N,741006,Yes
860Z200US25205,25205,49,27375,29267,22,-,34318,1434083,Yes
860Z200US25206,25206,60,-,41255,32,-,36228,2475300,Yes
860Z200US54464,54464,25,-,76604,16,104500,103013,1915100,Yes
860Z200US25870,25870,52,-,63329,23,-,N,3293108,Yes
860Z200US25911,25911,96,37400,44157,21,-,N,4239072,Yes
860Z200US55772,55772,62,-,44892,52,-,48615,2783304,Yes
860Z200US25913,25913,121,51976,46163,92,60690,59921,5585723,Yes
860Z200US59842,59842,49,-,113843,34,-,162188,5578307,Yes
860Z200US25966,25966,35,66042,61300,26,57500,68119,2145500,Yes
860Z200US26230,26230,59,-,34939,0,-,-,2061401,Yes
860Z200US60519,60519,24,-,119925,16,-,N,2878200,Yes
860Z200US26436,26436,82,31288,39326,40,-,46485,3224732,Yes
860Z200US61027,61027,48,56290,54998,40,-,N,2639904,Yes
860Z200US26629,26629,118,41467,40627,104,41087,38606,4793986,Yes
860Z200US26636,26636,173,-,28871,158,31300,31611,4994683,Yes
860Z200US26638,26638,65,81648,70388,50,81591,73982,4575220,Yes
860Z200US40865,40865,140,-,34732,90,-,33064,4862480,Yes
860Z200US62261,62261,33,33125,32103,8,-,N,1059399,Yes
860Z200US41271,41271,89,19458,30228,48,40500,43125,2690292,Yes
860Z200US41367,41367,98,46296,47953,74,-,60765,4699394,Yes
860Z200US41612,41612,126,-,49670,51,-,70204,6258420,Yes
860Z200US41849,41849,73,49297,50592,40,-,N,3693216,Yes
860Z200US64065,64065,7,64375,83471,2,-,N,584297,Yes
860Z200US42047,42047,72,-,23314,72,-,23314,1678608,Yes
860Z200US42151,42151,67,-,107704,43,-,N,7216168,Yes
860Z200US42153,42153,31,19063,25629,15,-,31880,794499,Yes
860Z200US43510,43510,60,70357,65642,60,70357,62002,3938520,Yes
860Z200US67102,67102,24,56250,62992,24,-,59450,1511808,Yes
860Z200US67442,67442,75,42404,48664,75,-,29597,3649800,Yes
860Z200US67518,67518,13,52188,69323,13,52188,69323,901199,Yes
860Z200US43925,43925,85,56985,54108,15,-,N,4599180,Yes
860Z200US48440,48440,75,-,332841,29,-,733690,24963075,Yes
860Z200US67843,67843,65,36131,35328,5,-,N,2296320,Yes
860Z200US67868,67868,59,-,41146,59,-,41146,2427614,Yes
